"gender","year","state","scale.score.reading","SE.reading","scale.score.math","SE.math","grade","region"
"all","2003","Alabama",207.083847576707,1.72532991058733,223.344642639352,1.18427662893446,4,"South"
"all","2003","Alaska",211.547153569153,1.63778258072438,232.991654321336,0.804646334226865,4,"West"
"all","2003","Arizona",208.87280135482,1.24534253727572,228.911396070184,1.07240902946323,4,"West"
"all","2003","Arkansas",213.615304459937,1.38071583572506,229.006588656244,0.917379315594999,4,"South"
"all","2003","California",205.632437100793,1.24314045714867,227.454981796736,0.911753682949149,4,"West"
"all","2003","Colorado",223.660981961028,1.22089124310286,235.193116124996,1.02265377500934,4,"West"
"all","2003","Connecticut",228.340614955382,1.09625587808553,240.615241634523,0.764535422848784,4,"Northeast"
"all","2003","Delaware",223.928811406218,0.652049567176046,235.859424549367,0.475922701220418,4,"South"
"all","2003","District of Columbia",188.374478503638,0.861746458479986,204.919850427599,0.656003690543658,4,"South"
"all","2003","DoDEA",224.251927409037,0.523170534265898,237.193660881715,0.385183402768308,4,"Other"
"all","2003","Florida",218.014488158342,1.14537503236677,233.72881145807,1.06144118001977,4,"South"
"all","2003","Georgia",213.597219332523,1.25002199999035,230.254976798559,1.00282980174967,4,"South"
"all","2003","Hawaii",208.259567530742,1.36799172198793,226.834610206384,0.955070848497392,4,"West"
"all","2003","Idaho",218.25988551638,1.01174766959671,234.943764703458,0.678806155896105,4,"West"
"all","2003","Illinois",216.3042879829,1.57405297792858,232.856775292011,1.05905744750844,4,"Midwest"
"all","2003","Indiana",220.406491126679,0.975970203553786,237.968279887063,0.893081450239325,4,"Midwest"
"all","2003","Iowa",223.271129818993,1.10691196232421,238.476694547401,0.707173790553771,4,"Midwest"
"all","2003","Kansas",220.143229712604,1.18946739190296,241.747365761914,1.03862470244528,4,"Midwest"
"all","2003","Kentucky",219.044417325545,1.32735241331218,228.726343259531,1.08954313884835,4,"South"
"all","2003","Louisiana",204.729487524848,1.40795626753159,226.247729119261,1.04555532656291,4,"South"
"all","2003","Maine",223.859493805469,0.923325275477058,237.615710381625,0.71296202852004,4,"Northeast"
"all","2003","Maryland",218.673759792615,1.40668835100914,233.079852288453,1.27479490952668,4,"South"
"all","2003","Massachusetts",227.604259402914,1.22228926610126,241.664527429109,0.79799347912963,4,"Northeast"
"all","2003","Michigan",218.789056709096,1.1851150532603,235.686974674139,0.928149994336775,4,"Midwest"
"all","2003","Minnesota",222.608962298108,1.09812394468893,241.912295583077,0.927093141542349,4,"Midwest"
"all","2003","Mississippi",205.46440681013,1.34758548857151,222.890600506289,1.03590931124768,4,"South"
"all","2003","Missouri",222.260230125215,1.17020426347733,234.836425354607,0.944556221504944,4,"Midwest"
"all","2003","Montana",222.746541627727,1.19703076597472,235.754915265689,0.828752629577611,4,"West"
"all","2003","Nebraska",220.611802066606,1.0009481395938,236.254108414529,0.790401760327859,4,"Midwest"
"all","2003","Nevada",206.959682725248,1.24031935972272,227.513598313738,0.77875466043318,4,"West"
"all","2003","New Hampshire",227.789508496749,0.984486569199036,243.110142195237,0.858037538850453,4,"Northeast"
"all","2003","New Jersey",225.07332803577,1.17685551181081,238.776541201516,1.09472496753314,4,"Northeast"
"all","2003","New Mexico",203.185312558191,1.5295372007803,222.518009239083,1.05604186644438,4,"West"
"all","2003","New York",222.188207106776,1.08891484809696,235.930075481869,0.884937533260344,4,"Northeast"
"all","2003","North Carolina",221.220579655011,1.02138353987177,242.040125606164,0.776894546753365,4,"South"
"all","2003","North Dakota",221.642245735878,0.850522268441328,237.577386832979,0.67522623577835,4,"Midwest"
"all","2003","Ohio",221.86579907669,1.15367864681846,237.782067895563,1.02573131238383,4,"Midwest"
"all","2003","Oklahoma",213.57935707208,1.24098424015184,229.096621276342,0.970465694517211,4,"South"
"all","2003","Oregon",217.614535250227,1.29952807466068,236.30590556784,0.91013887082512,4,"West"
"all","2003","Pennsylvania",218.698427536109,1.28054688529101,235.947017122469,1.08328973892067,4,"Northeast"
"all","2003","Rhode Island",216.494015184678,1.31742919009999,230.297961992373,1.03702712658875,4,"Northeast"
"all","2003","South Carolina",214.807724490456,1.28615873655485,235.793223537785,0.92702989483596,4,"South"
"all","2003","South Dakota",222.273178577212,1.16639292640799,237.264820552788,0.699261378715029,4,"Midwest"
"all","2003","Tennessee",211.94754112042,1.59957955706549,227.755044720773,0.989768926691483,4,"South"
"all","2003","Texas",214.808005616741,1.04615045742972,237.305921828857,0.889425394686841,4,"South"
"all","2003","Utah",219.270338418871,1.01884158342908,234.782950865289,0.776177338525498,4,"West"
"all","2003","Vermont",226.121746629112,0.912696422262232,241.926072418459,0.75196248102232,4,"Northeast"
"all","2003","Virginia",223.340359189755,1.49532689950484,239.203089120035,1.0752868580908,4,"South"
"all","2003","Washington",221.096695134157,1.12023106318613,238.292839469301,0.950094000734486,4,"West"
"all","2003","West Virginia",219.179524491303,1.03031296149006,230.767748452518,0.837884215398218,4,"South"
"all","2003","Wisconsin",220.833427555838,0.8480762380807,236.755413982726,0.858867388732389,4,"Midwest"
"all","2003","Wyoming",222.075166369555,0.839004070635613,241.085700646279,0.601618534936423,4,"West"
"all","2005","Alabama",207.75203301297,1.19791043044619,225.071236241265,0.866293070208078,4,"South"
"all","2005","Alaska",211.06131857045,1.35375397911045,235.510705539745,1.03388335291586,4,"West"
"all","2005","Arizona",207.14273663584,1.57287368315964,229.800673071331,1.11821557534314,4,"West"
"all","2005","Arkansas",217.071528896937,1.0535885610604,235.54546696398,0.924089601093364,4,"South"
